sense_question,wordnet_sense
boots v_say_2,boot.v.02
boots v_understand_1,boot.v.01
boots v_understand_2,boot.v.02
bottle n_say_1,bottle.n.01
bottle n_say_2,bottle.n.02
bottle n_say_3,bottle.n.03
bottle v_say_1,bottle.v.01
bottle v_say_2,bottle.v.02
bottle v_understand_1,bottle.v.01
bottle v_understand_2,bottle.v.02
bowl n_say_1,bowl.n.01
bowl n_say_2,bowl.n.02
bowl n_say_3,bowl.n.03
bowl n_say_4,bowl.n.04
bowl n_say_5,stadium.n.01
bowl n_say_6,bowling_ball.n.01
bowl n_say_7,bowl.n.07
bowl n_say_8,bowl.n.08
bowl n_say_9,roll.n.15
bowl v_say_1,bowl.v.01
bowl v_say_2,bowl.v.02
bowl v_say_3,bowl.v.03
bowl v_understand_1,bowl.v.01
bowl v_understand_2,bowl.v.02
bowl v_understand_3,bowl.v.03
box n_say_1,box.n.01
box n_say_10,box.n.10
box n_say_2,box.n.02
box n_say_3,box.n.03
box n_say_4,corner.n.08
box n_say_5,box.n.05
box n_say_6,box.n.06
box n_say_7,box.n.07
box n_say_8,box.n.08
box n_say_9,box.n.09
box v_say_1,box.v.01
box v_say_2,box.v.02
box v_say_3,box.v.03
box v_understand_1,box.v.01
box v_understand_2,box.v.02
box v_understand_3,box.v.03
boy n_say_1,male_child.n.01
boy n_say_2,boy.n.02
boy n_say_3,son.n.01
bread n_say_1,bread.n.01
bread n_say_2,boodle.n.01
bread v_say_1,bread.v.01
bread v_understand_1,bread.v.01
break n_say_1,interruption.n.02
break n_say_10,break.n.11
break n_say_11,break.n.12
break n_say_12,break.n.13
break n_say_13,break.n.14
break n_say_14,break.n.16
break n_say_2,break.n.02
break n_say_3,rupture.n.02
break n_say_4,respite.n.02
break n_say_5,breakage.n.03
break n_say_6,pause.n.01
break n_say_7,fracture.n.01
break n_say_8,break.n.09
break n_say_9,break.n.10
break v_say_1,interrupt.v.04
break v_say_10,break.v.10
break v_say_11,break_in.v.01
break v_say_12,violate.v.01
break v_say_13,better.v.01
break v_say_14,unwrap.v.02
break v_say_15,break.v.16
break v_say_16,fail.v.04
break v_say_17,break.v.20
break v_say_18,dampen.v.07
break v_say_19,break.v.22
break v_say_2,break.v.02
break v_say_20,break.v.23
break v_say_21,break.v.25
break v_say_22,break.v.26
break v_say_23,break.v.27
break v_say_24,break.v.28
break v_say_25,break.v.29
break v_say_26,separate.v.08
break v_say_27,bankrupt.v.01
